shipping_id,order_id,shipping_provider,shipping_status,delivery_days,delivery_priority
55,55,UPS,In Transit,2,Overnight
56,56,USPS,Delivered,9,Overnight
57,57,FedEx,Delayed,3,Overnight
58,58,USPS,Delivered,9,Express
59,59,USPS,Delivered,1,Express
60,60,USPS,Returned,7,Overnight
61,61,FedEx,Delayed,9,Overnight
62,62,USPS,Returned,10,Express
63,63,UPS,In Transit,13,Standard
64,64,DHL,Returned,4,Express
65,65,DHL,In Transit,6,Overnight
66,66,DHL,In Transit,11,Express
67,67,DHL,Returned,7,Overnight
68,68,UPS,In Transit,3,Overnight
69,69,UPS,In Transit,14,Standard
70,70,USPS,Delayed,12,Overnight
71,71,USPS,Delayed,6,Express
72,72,USPS,In Transit,7,Overnight
73,73,USPS,Delayed,12,Standard
74,74,UPS,Delivered,1,Express
75,75,USPS,Delayed,11,Express
76,76,DHL,Returned,9,Express
77,77,DHL,Returned,5,Express
78,78,UPS,In Transit,7,Overnight
79,79,USPS,Delivered,14,Standard
80,80,DHL,Returned,14,Express
81,81,UPS,In Transit,10,Express
82,82,UPS,Delayed,9,Standard
83,83,FedEx,Delayed,2,Overnight
84,84,FedEx,Delayed,9,Express
85,85,DHL,Returned,6,Standard
86,86,USPS,Delivered,3,Overnight
87,87,DHL,Returned,8,Overnight
88,88,UPS,Delivered,12,Standard
89,89,USPS,Returned,12,Standard
90,90,FedEx,In Transit,11,Overnight
91,91,DHL,Returned,6,Standard
92,92,DHL,In Transit,2,Standard
93,93,USPS,Delivered,12,Standard
94,94,USPS,In Transit,12,Express
95,95,USPS,Returned,9,Express
96,96,DHL,Delivered,8,Overnight
97,97,FedEx,Delayed,4,Overnight
98,98,DHL,In Transit,6,Express
99,99,UPS,In Transit,2,Overnight
100,100,DHL,Delivered,8,Express
101,101,USPS,Delayed,2,Standard
102,102,UPS,Delivered,4,Standard
103,103,DHL,Delivered,13,Express
104,104,FedEx,Delayed,7,Standard
105,105,FedEx,Delayed,4,Overnight
106,106,USPS,Returned,13,Express
107,107,FedEx,Delivered,2,Standard
108,108,DHL,Returned,10,Overnight
109,109,USPS,Delayed,14,Standard
110,110,UPS,Returned,10,Express
111,111,FedEx,Delayed,13,Express
112,112,USPS,Returned,1,Standard
113,113,FedEx,Delayed,6,Standard
114,114,USPS,Delayed,1,Express
115,115,FedEx,In Transit,8,Overnight
116,116,UPS,In Transit,1,Overnight
117,117,UPS,In Transit,6,Express
118,118,DHL,Returned,4,Express
119,119,UPS,Returned,6,Express
120,120,UPS,In Transit,11,Express
121,121,DHL,Delayed,9,Overnight
122,122,DHL,Returned,4,Express
123,123,FedEx,Delivered,2,Express
124,124,FedEx,In Transit,10,Overnight
125,125,DHL,In Transit,4,Express
126,126,FedEx,Returned,3,Standard
127,127,UPS,Returned,9,Standard
128,128,UPS,Returned,11,Express
129,129,UPS,In Transit,3,Express
130,130,DHL,In Transit,6,Overnight
131,131,DHL,In Transit,6,Overnight
132,132,FedEx,Returned,12,Overnight
133,133,USPS,Returned,14,Overnight
134,134,FedEx,In Transit,7,Express
135,135,FedEx,Delayed,2,Express
136,136,FedEx,In Transit,8,Overnight
137,137,USPS,In Transit,9,Express
138,138,USPS,Delivered,3,Standard
139,139,FedEx,In Transit,5,Express
140,140,FedEx,Delivered,8,Overnight
141,141,DHL,In Transit,3,Express
142,142,USPS,Delivered,14,Express
143,143,USPS,Returned,10,Express
144,144,UPS,Returned,10,Overnight
145,145,USPS,In Transit,14,Overnight
146,146,FedEx,In Transit,4,Express
147,147,DHL,Delivered,6,Overnight
148,148,UPS,Delayed,7,Overnight
149,149,UPS,Returned,2,Express
150,150,FedEx,Returned,9,Standard
151,151,UPS,Delivered,14,Express
152,152,DHL,In Transit,3,Express
153,153,USPS,Delayed,6,Express
154,154,DHL,Delivered,5,Standard
155,155,USPS,Delivered,7,Overnight
156,156,UPS,Delivered,4,Express
157,157,UPS,In Transit,12,Overnight
158,158,UPS,Delivered,7,Overnight
159,159,USPS,Delayed,7,Express
160,160,UPS,Delivered,14,Standard
161,161,FedEx,In Transit,1,Standard
162,162,DHL,In Transit,5,Standard
163,163,UPS,Delivered,12,Overnight
164,164,USPS,Delayed,1,Standard
165,165,UPS,Delayed,9,Overnight
166,166,DHL,In Transit,4,Express
167,167,UPS,Delivered,14,Express
168,168,USPS,Returned,4,Express
169,169,DHL,Delivered,5,Overnight
170,170,FedEx,Delivered,10,Express
171,171,FedEx,Delayed,14,Standard
172,172,UPS,Returned,5,Overnight
173,173,UPS,Delayed,7,Overnight
174,174,USPS,In Transit,8,Overnight
175,175,UPS,Delivered,6,Express
176,176,DHL,Delayed,11,Express
177,177,DHL,Delivered,3,Standard
178,178,USPS,In Transit,8,Overnight
179,179,UPS,In Transit,1,Overnight
180,180,UPS,Delivered,7,Overnight
181,181,USPS,Returned,14,Express
182,182,USPS,Returned,12,Overnight
183,183,UPS,In Transit,5,Overnight
184,184,FedEx,Delivered,14,Standard
185,185,DHL,Delayed,6,Standard
186,186,FedEx,Returned,3,Standard
187,187,UPS,Delayed,13,Standard
188,188,UPS,Returned,13,Overnight
189,189,DHL,Returned,3,Express
190,190,FedEx,Delayed,11,Express
191,191,DHL,Delivered,3,Standard
192,192,USPS,In Transit,10,Overnight
193,193,FedEx,In Transit,13,Express
194,194,FedEx,Returned,4,Overnight
195,195,FedEx,Delivered,9,Overnight
196,196,DHL,Delayed,6,Overnight
197,197,UPS,Delayed,14,Standard
198,198,USPS,In Transit,3,Overnight
199,199,UPS,In Transit,6,Express
200,200,DHL,Delayed,14,Overnight
201,201,FedEx,In Transit,10,Standard
202,202,UPS,Delayed,6,Express
203,203,USPS,Returned,5,Express
204,204,UPS,In Transit,10,Overnight
205,205,DHL,Returned,14,Overnight
206,206,FedEx,In Transit,9,Express
207,207,UPS,Delivered,7,Standard
208,208,FedEx,Returned,3,Express
209,209,DHL,Delayed,2,Express
210,210,DHL,Returned,7,Standard
211,211,USPS,Delivered,1,Overnight
212,212,FedEx,In Transit,6,Express
213,213,FedEx,Delivered,11,Express
214,214,UPS,Returned,11,Standard
215,215,DHL,Returned,10,Express
216,216,FedEx,Returned,5,Standard
217,217,FedEx,In Transit,14,Overnight
218,218,UPS,Delayed,6,Standard
219,219,FedEx,Returned,1,Standard
220,220,DHL,In Transit,3,Express
221,221,USPS,Delayed,10,Overnight
222,222,DHL,Delayed,9,Standard
223,223,UPS,Delayed,1,Overnight
224,224,USPS,In Transit,5,Express
225,225,FedEx,Delivered,2,Overnight
226,226,DHL,In Transit,9,Standard
227,227,UPS,Returned,11,Standard
228,228,USPS,In Transit,11,Standard
229,229,DHL,Delayed,7,Standard
230,230,UPS,In Transit,2,Express
231,231,FedEx,Delivered,14,Overnight
232,232,FedEx,Delayed,7,Standard
233,233,FedEx,Delayed,13,Overnight
234,234,FedEx,In Transit,2,Express
235,235,DHL,Returned,14,Standard
236,236,FedEx,Delayed,8,Standard
237,237,UPS,Delivered,11,Overnight
238,238,UPS,Delivered,7,Overnight
239,239,FedEx,Returned,6,Overnight
240,240,USPS,In Transit,7,Express
241,241,DHL,Returned,5,Overnight
242,242,UPS,Returned,2,Standard
243,243,UPS,Returned,1,Standard
244,244,UPS,In Transit,6,Overnight
245,245,USPS,Returned,13,Overnight
246,246,DHL,Returned,3,Express
247,247,FedEx,In Transit,4,Standard
248,248,UPS,In Transit,9,Standard
249,249,DHL,Returned,10,Overnight
250,250,DHL,Delayed,14,Express
251,251,DHL,Returned,1,Standard
252,252,UPS,Delivered,11,Overnight
253,253,FedEx,In Transit,4,Express
254,254,UPS,Delayed,9,Standard
255,255,UPS,Delivered,11,Express
256,256,UPS,Returned,4,Express
257,257,FedEx,Delayed,14,Express
258,258,FedEx,Delivered,2,Express
259,259,FedEx,In Transit,1,Standard
260,260,FedEx,Delayed,5,Standard
261,261,FedEx,Returned,2,Express
262,262,UPS,In Transit,3,Standard
263,263,UPS,Delivered,13,Standard
264,264,DHL,Delivered,5,Overnight
265,265,USPS,Delivered,7,Express
266,266,UPS,Returned,4,Standard
267,267,USPS,Returned,7,Express
268,268,FedEx,Delayed,7,Express
269,269,FedEx,Delivered,13,Express
270,270,UPS,Returned,1,Overnight
271,271,FedEx,Returned,5,Standard
272,272,DHL,Returned,8,Express
273,273,DHL,Delivered,4,Standard
274,274,DHL,Returned,4,Overnight
275,275,UPS,Returned,2,Express
276,276,DHL,Delayed,12,Express
277,277,DHL,Returned,9,Standard
278,278,USPS,Delivered,10,Express
279,279,USPS,Delayed,8,Overnight
280,280,UPS,Delivered,9,Express
281,281,FedEx,Delayed,13,Overnight
282,282,DHL,Returned,9,Standard
283,283,USPS,Returned,10,Express
284,284,DHL,Delayed,7,Standard
285,285,UPS,Returned,5,Standard
286,286,UPS,Delayed,5,Overnight
287,287,DHL,Delivered,9,Express
288,288,DHL,In Transit,6,Standard
289,289,USPS,In Transit,7,Express
290,290,DHL,Delivered,12,Overnight
291,291,USPS,Delayed,6,Overnight
292,292,FedEx,Delivered,9,Express
293,293,DHL,In Transit,10,Standard
294,294,DHL,Delayed,4,Standard
295,295,DHL,Returned,9,Standard
296,296,FedEx,Delayed,1,Overnight
297,297,FedEx,In Transit,3,Overnight
298,298,FedEx,Returned,3,Express
299,299,FedEx,In Transit,9,Overnight
300,300,UPS,Returned,5,Overnight
301,301,USPS,Returned,8,Express
302,302,USPS,In Transit,6,Standard
303,303,UPS,Delayed,5,Standard
304,304,USPS,Delayed,4,Express
305,305,USPS,Delivered,10,Express
306,306,UPS,Delivered,14,Express
307,307,USPS,Delivered,8,Standard
308,308,USPS,In Transit,1,Express
309,309,USPS,In Transit,1,Standard
310,310,DHL,In Transit,4,Standard
311,311,DHL,Returned,7,Overnight
312,312,FedEx,Returned,9,Express
313,313,FedEx,Returned,14,Express
314,314,DHL,Returned,6,Overnight
315,315,UPS,In Transit,5,Express
316,316,DHL,In Transit,9,Standard
317,317,DHL,Delayed,4,Standard
318,318,FedEx,Delivered,5,Overnight
319,319,FedEx,Delayed,1,Standard
320,320,FedEx,Returned,12,Overnight
321,321,UPS,Returned,2,Express
322,322,FedEx,Returned,4,Standard
323,323,USPS,Returned,8,Overnight
324,324,USPS,Returned,1,Standard
325,325,FedEx,Delivered,13,Overnight
326,326,DHL,Delayed,10,Overnight
327,327,USPS,Delivered,9,Express
328,328,DHL,Delivered,8,Overnight
329,329,FedEx,In Transit,9,Overnight
330,330,USPS,Returned,11,Express
331,331,FedEx,In Transit,14,Express
332,332,DHL,Delayed,2,Standard
333,333,DHL,Returned,12,Express
334,334,DHL,In Transit,14,Standard
335,335,FedEx,Delayed,8,Standard
336,336,USPS,Delivered,1,Express
337,337,DHL,Delayed,13,Standard
338,338,DHL,Delivered,4,Express
339,339,UPS,Delayed,13,Overnight
340,340,FedEx,In Transit,5,Overnight
341,341,FedEx,Delayed,3,Standard
342,342,UPS,Delayed,3,Standard
343,343,UPS,In Transit,11,Express
344,344,DHL,In Transit,10,Overnight
345,345,FedEx,In Transit,12,Express
346,346,UPS,In Transit,13,Standard
347,347,FedEx,In Transit,9,Standard
348,348,DHL,In Transit,9,Standard
349,349,UPS,Returned,11,Standard
350,350,USPS,Delayed,7,Standard
351,351,USPS,Returned,9,Express
352,352,UPS,Returned,13,Standard
353,353,UPS,Delivered,6,Standard
354,354,UPS,Delayed,9,Express
355,355,USPS,Delayed,8,Standard
356,356,FedEx,Delivered,4,Standard
357,357,USPS,Returned,13,Express
358,358,UPS,Delivered,8,Express
359,359,FedEx,Delivered,6,Overnight
360,360,USPS,Delivered,1,Express
361,361,DHL,Returned,1,Express
362,362,FedEx,Delivered,6,Express
363,363,DHL,Delivered,5,Overnight
364,364,DHL,In Transit,11,Standard
365,365,FedEx,In Transit,1,Overnight
366,366,USPS,In Transit,6,Standard
367,367,DHL,Delayed,4,Express
368,368,DHL,Returned,9,Standard
369,369,USPS,In Transit,10,Standard
370,370,USPS,Delivered,10,Overnight
371,371,UPS,In Transit,11,Express
372,372,FedEx,Delivered,6,Express
373,373,UPS,Delayed,7,Standard
374,374,UPS,Returned,8,Express
375,375,UPS,Delivered,9,Express
376,376,UPS,Delivered,1,Standard
377,377,FedEx,Delayed,13,Overnight
378,378,DHL,In Transit,3,Express
379,379,UPS,Delayed,12,Express
380,380,UPS,In Transit,12,Express
381,381,DHL,Delayed,1,Standard
382,382,DHL,Delivered,3,Standard
383,383,UPS,Returned,8,Express
384,384,USPS,In Transit,7,Overnight
385,385,USPS,In Transit,13,Overnight
386,386,UPS,In Transit,14,Overnight
387,387,DHL,Returned,9,Standard
388,388,USPS,In Transit,5,Overnight
389,389,FedEx,In Transit,1,Overnight
390,390,USPS,In Transit,11,Standard
391,391,UPS,Delivered,11,Standard
392,392,DHL,Returned,5,Standard
393,393,FedEx,Delayed,4,Standard
394,394,DHL,Delivered,4,Express
395,395,UPS,Delivered,8,Overnight
396,396,UPS,Delivered,1,Overnight
397,397,DHL,Returned,6,Standard
398,398,USPS,In Transit,3,Express
399,399,DHL,Returned,9,Express
400,400,DHL,Delivered,10,Overnight
401,401,DHL,Delayed,7,Overnight
402,402,FedEx,In Transit,4,Express
403,403,FedEx,In Transit,3,Standard
404,404,UPS,In Transit,7,Express
405,405,USPS,Delayed,14,Standard
406,406,DHL,Delayed,5,Standard
407,407,FedEx,In Transit,11,Standard
408,408,DHL,Delayed,11,Overnight
409,409,FedEx,Returned,6,Standard
410,410,UPS,Returned,11,Express
411,411,USPS,Returned,7,Express
412,412,UPS,In Transit,9,Overnight
413,413,FedEx,Returned,3,Overnight
414,414,UPS,Delayed,5,Express
415,415,DHL,Delivered,11,Overnight
416,416,FedEx,In Transit,6,Express
417,417,FedEx,Delayed,7,Express
418,418,DHL,Delayed,11,Standard
419,419,DHL,Returned,1,Express
420,420,DHL,In Transit,11,Standard
421,421,DHL,Delivered,1,Express
422,422,UPS,Delivered,6,Express
423,423,DHL,Returned,10,Overnight
424,424,UPS,Returned,4,Standard
425,425,DHL,In Transit,3,Standard
426,426,UPS,Delivered,6,Express
427,427,DHL,Delivered,11,Express
428,428,USPS,Returned,13,Overnight
429,429,UPS,Delayed,8,Express
430,430,DHL,Returned,2,Express
431,431,FedEx,Returned,3,Standard
432,432,UPS,Delayed,8,Express
433,433,DHL,In Transit,5,Standard
434,434,USPS,Delivered,7,Express
435,435,USPS,Returned,3,Overnight
436,436,UPS,Returned,9,Overnight
437,437,USPS,Delayed,12,Standard
438,438,USPS,Returned,12,Overnight
439,439,FedEx,Returned,13,Overnight
440,440,USPS,Returned,11,Standard
441,441,USPS,In Transit,13,Overnight
442,442,FedEx,Delayed,1,Standard
443,443,USPS,Returned,11,Overnight
444,444,FedEx,Delivered,4,Express
445,445,DHL,Returned,6,Standard
446,446,USPS,Returned,2,Overnight
447,447,DHL,Delayed,3,Standard
448,448,UPS,Delivered,13,Express
449,449,DHL,Delayed,10,Standard
450,450,UPS,In Transit,8,Overnight
451,451,UPS,Returned,9,Overnight
452,452,USPS,Delayed,4,Express
453,453,USPS,Returned,10,Standard
454,454,DHL,In Transit,3,Standard
455,455,USPS,Delayed,14,Standard
456,456,FedEx,Delivered,12,Standard
457,457,UPS,Delayed,12,Standard
458,458,DHL,Delivered,6,Standard
459,459,UPS,Delivered,5,Express
460,460,USPS,Delayed,1,Express
461,461,FedEx,Delayed,8,Standard
462,462,USPS,Delivered,3,Overnight
463,463,UPS,Returned,9,Express
464,464,FedEx,Delivered,11,Standard
465,465,USPS,In Transit,8,Standard
466,466,USPS,Delayed,14,Overnight
467,467,UPS,Delayed,10,Express
468,468,DHL,Returned,1,Standard
469,469,UPS,Delayed,10,Standard
470,470,FedEx,Delayed,12,Standard
471,471,DHL,Delayed,10,Overnight
472,472,FedEx,Delivered,3,Express
473,473,DHL,Delivered,10,Standard
474,474,UPS,Returned,5,Standard
475,475,UPS,Delayed,4,Express
476,476,USPS,In Transit,14,Standard
477,477,DHL,Delayed,6,Express
478,478,USPS,Delayed,14,Overnight
479,479,DHL,In Transit,13,Express
480,480,FedEx,Delivered,7,Standard
481,481,UPS,Delivered,14,Overnight
482,482,UPS,Delivered,3,Overnight
483,483,UPS,Delayed,8,Express
484,484,UPS,In Transit,6,Express
485,485,USPS,Returned,14,Express
486,486,FedEx,Returned,7,Express
487,487,FedEx,Delayed,12,Express
488,488,DHL,Returned,8,Express
489,489,UPS,In Transit,10,Express
490,490,DHL,Delayed,14,Standard
491,491,USPS,Returned,14,Express
492,492,USPS,Delivered,14,Overnight
493,493,USPS,Returned,12,Standard
494,494,USPS,Delivered,12,Standard
495,495,USPS,Delivered,13,Standard
496,496,USPS,Delayed,9,Express
497,497,DHL,Returned,10,Express
498,498,FedEx,Delayed,2,Express
499,499,UPS,In Transit,6,Overnight
500,500,DHL,In Transit,3,Express
501,501,FedEx,In Transit,13,Express
502,502,USPS,Returned,6,Overnight
503,503,USPS,Delivered,7,Overnight
504,504,UPS,Returned,10,Standard
505,505,FedEx,Returned,8,Express
506,506,FedEx,In Transit,9,Standard
507,507,FedEx,Delayed,6,Express
508,508,DHL,Delivered,2,Express
509,509,FedEx,Delivered,7,Overnight
510,510,UPS,Returned,8,Standard
511,511,DHL,Delivered,5,Express
512,512,FedEx,Delivered,5,Overnight
513,513,USPS,Returned,2,Overnight
514,514,USPS,Delivered,7,Overnight
515,515,USPS,In Transit,5,Express
516,516,FedEx,Returned,14,Express
517,517,FedEx,In Transit,11,Overnight
518,518,FedEx,Delayed,8,Standard
519,519,USPS,Delivered,11,Standard
520,520,DHL,In Transit,6,Express
521,521,FedEx,Delivered,14,Overnight
522,522,UPS,In Transit,9,Express
523,523,USPS,Returned,7,Express
524,524,USPS,In Transit,9,Express
525,525,UPS,Delivered,3,Express
526,526,USPS,In Transit,1,Overnight
527,527,USPS,Delivered,12,Overnight
528,528,FedEx,Delivered,1,Standard
529,529,UPS,In Transit,4,Express
530,530,DHL,In Transit,13,Standard
531,531,USPS,Delivered,4,Express
532,532,FedEx,In Transit,8,Standard
533,533,UPS,Delivered,10,Express
534,534,USPS,Delayed,10,Overnight
535,535,UPS,Delayed,9,Standard
536,536,USPS,Delayed,3,Standard
537,537,UPS,Returned,9,Express
538,538,DHL,Delayed,14,Standard
539,539,USPS,Delivered,10,Standard
540,540,DHL,In Transit,3,Express
541,541,FedEx,In Transit,1,Express
542,542,UPS,In Transit,7,Overnight
543,543,UPS,Delivered,1,Overnight
544,544,FedEx,In Transit,13,Overnight
545,545,USPS,Delayed,14,Standard
546,546,USPS,Delivered,5,Overnight
547,547,USPS,Delayed,9,Overnight
548,548,USPS,Returned,2,Overnight
549,549,USPS,Delivered,2,Overnight
550,550,UPS,Delivered,3,Express
551,551,USPS,Delivered,14,Express
552,552,FedEx,Delayed,12,Express
553,553,DHL,Delayed,13,Overnight
554,554,DHL,Returned,4,Express
555,555,FedEx,In Transit,11,Overnight
556,556,USPS,In Transit,9,Express
557,557,DHL,Delivered,1,Overnight
558,558,FedEx,Delivered,2,Express
559,559,UPS,Delayed,5,Express
560,560,DHL,In Transit,4,Standard
561,561,DHL,Delivered,13,Overnight
562,562,DHL,Returned,13,Standard
563,563,USPS,In Transit,12,Overnight
564,564,USPS,Returned,11,Express
565,565,USPS,Returned,10,Standard
566,566,USPS,Returned,11,Express
567,567,UPS,In Transit,5,Overnight
568,568,FedEx,Delayed,8,Standard
569,569,USPS,Delivered,11,Standard
570,570,UPS,Delayed,10,Standard
571,571,UPS,Returned,12,Standard
572,572,DHL,In Transit,11,Standard
573,573,DHL,Delivered,11,Express
574,574,USPS,Delivered,10,Standard
575,575,FedEx,In Transit,12,Overnight
576,576,USPS,Delayed,2,Standard
577,577,FedEx,Delivered,14,Overnight
578,578,UPS,Delivered,3,Standard
579,579,DHL,Returned,1,Overnight
580,580,USPS,In Transit,1,Express
581,581,DHL,Delayed,7,Standard
582,582,FedEx,In Transit,3,Standard
583,583,USPS,In Transit,3,Overnight
584,584,DHL,Delayed,3,Overnight
585,585,UPS,Delivered,4,Overnight
586,586,FedEx,In Transit,5,Express
587,587,UPS,In Transit,4,Express
588,588,FedEx,Delayed,10,Overnight
589,589,DHL,Returned,1,Standard
590,590,UPS,Returned,7,Standard
591,591,USPS,Returned,12,Express
592,592,USPS,Delivered,3,Overnight
593,593,FedEx,In Transit,1,Overnight
594,594,FedEx,Delivered,2,Standard
595,595,FedEx,Returned,13,Express
596,596,FedEx,In Transit,7,Standard
597,597,UPS,Returned,8,Overnight
598,598,UPS,Delivered,1,Overnight
599,599,FedEx,Delivered,5,Overnight
600,600,DHL,Delayed,2,Overnight
601,601,DHL,Delayed,8,Standard
602,602,FedEx,In Transit,8,Standard
603,603,UPS,In Transit,3,Express
604,604,DHL,Delivered,5,Express
605,605,FedEx,In Transit,3,Standard
606,606,FedEx,Delayed,12,Express
607,607,UPS,Delivered,14,Standard
608,608,DHL,Delivered,8,Standard
609,609,DHL,In Transit,11,Standard
610,610,USPS,Delivered,6,Overnight
611,611,FedEx,Delivered,14,Express
612,612,USPS,Delayed,4,Overnight
613,613,DHL,Delayed,5,Overnight
614,614,USPS,In Transit,11,Express
615,615,FedEx,In Transit,11,Express
616,616,FedEx,Delivered,3,Standard
617,617,FedEx,Returned,4,Overnight
618,618,USPS,Delayed,6,Overnight
619,619,UPS,In Transit,5,Overnight
620,620,FedEx,Returned,8,Express
621,621,FedEx,Returned,10,Standard
622,622,USPS,In Transit,7,Express
623,623,DHL,Delivered,2,Overnight
624,624,FedEx,In Transit,13,Express
625,625,USPS,Delayed,5,Overnight
626,626,USPS,Delayed,7,Overnight
627,627,FedEx,Delayed,13,Overnight
628,628,DHL,In Transit,2,Overnight
629,629,DHL,In Transit,5,Express
630,630,DHL,Delayed,9,Express
631,631,DHL,Returned,2,Standard
632,632,UPS,Delayed,1,Express
633,633,UPS,Returned,5,Overnight
634,634,UPS,Returned,12,Express
635,635,USPS,Delivered,4,Overnight
636,636,DHL,Delivered,3,Express
637,637,UPS,In Transit,5,Express
638,638,USPS,Returned,12,Overnight
639,639,UPS,Delivered,14,Express
640,640,USPS,Returned,1,Express
641,641,UPS,In Transit,7,Express
642,642,USPS,Returned,2,Standard
643,643,UPS,Delayed,12,Overnight
644,644,FedEx,Returned,13,Overnight
645,645,UPS,Returned,4,Express
646,646,FedEx,Delivered,5,Overnight
647,647,FedEx,Returned,2,Overnight
648,648,FedEx,In Transit,11,Overnight
649,649,FedEx,In Transit,1,Express
650,650,UPS,Returned,8,Overnight
651,651,USPS,In Transit,11,Standard
652,652,FedEx,Delayed,5,Standard
653,653,DHL,Returned,9,Standard
654,654,USPS,Returned,14,Express
655,655,FedEx,Delayed,2,Express
656,656,USPS,Delivered,6,Standard
657,657,UPS,Delivered,1,Overnight
658,658,USPS,Returned,6,Overnight
659,659,DHL,Returned,10,Express
660,660,FedEx,Returned,2,Standard
661,661,FedEx,Returned,11,Standard
662,662,DHL,In Transit,12,Standard
663,663,DHL,Returned,1,Standard
664,664,FedEx,Delivered,1,Express
665,665,FedEx,Delivered,4,Standard
666,666,USPS,Delivered,13,Overnight
667,667,DHL,Delayed,6,Standard
668,668,USPS,Delivered,7,Standard
669,669,USPS,Delayed,3,Overnight
670,670,FedEx,Returned,4,Standard
671,671,USPS,Returned,5,Express
672,672,UPS,In Transit,8,Overnight
673,673,DHL,In Transit,2,Express
674,674,UPS,Delayed,14,Express
675,675,DHL,Returned,11,Overnight
676,676,DHL,Delayed,14,Overnight
677,677,USPS,In Transit,12,Standard
678,678,UPS,Returned,11,Overnight
679,679,USPS,Delivered,10,Standard
680,680,FedEx,Delayed,7,Overnight
681,681,DHL,Delayed,12,Standard
682,682,FedEx,Delayed,13,Express
683,683,FedEx,Returned,10,Overnight
684,684,UPS,Delayed,7,Overnight
685,685,UPS,Delayed,11,Overnight
686,686,UPS,Delayed,12,Express
687,687,DHL,Returned,8,Standard
688,688,USPS,Returned,2,Express
689,689,FedEx,Returned,5,Overnight
690,690,DHL,Delayed,14,Standard
691,691,USPS,Returned,14,Overnight
692,692,UPS,In Transit,6,Standard
693,693,DHL,Delayed,9,Overnight
694,694,USPS,Delivered,2,Express
695,695,UPS,Returned,4,Overnight
696,696,FedEx,Delayed,9,Overnight
697,697,DHL,Delayed,5,Overnight
698,698,DHL,In Transit,6,Express
699,699,FedEx,Delivered,10,Express
700,700,DHL,Returned,7,Express
701,701,USPS,Delivered,2,Overnight
702,702,FedEx,Delayed,2,Overnight
703,703,FedEx,Delayed,10,Express
704,704,USPS,Delivered,4,Overnight
705,705,FedEx,Delayed,4,Express
706,706,USPS,Returned,6,Overnight
707,707,USPS,Delayed,9,Overnight
708,708,UPS,In Transit,9,Express
709,709,DHL,Returned,3,Express
710,710,USPS,Returned,3,Express
711,711,FedEx,Returned,7,Standard
712,712,UPS,Delivered,5,Express
713,713,USPS,Returned,11,Overnight
714,714,UPS,Delivered,5,Standard
715,715,UPS,Delivered,4,Overnight
716,716,FedEx,Returned,9,Express
717,717,DHL,Delivered,14,Express
718,718,DHL,In Transit,13,Overnight
719,719,DHL,Delayed,7,Overnight
720,720,UPS,Returned,3,Overnight
721,721,DHL,Delivered,10,Standard
722,722,DHL,Delivered,3,Express
723,723,DHL,Returned,6,Standard
724,724,USPS,In Transit,1,Overnight
725,725,DHL,Delivered,4,Express
726,726,DHL,Delayed,6,Standard
727,727,USPS,Delayed,11,Express
728,728,DHL,In Transit,2,Standard
729,729,USPS,Delayed,7,Express
730,730,FedEx,In Transit,13,Standard
731,731,USPS,Delivered,14,Standard
732,732,UPS,Returned,7,Express
733,733,DHL,Returned,9,Express
734,734,USPS,Returned,2,Express
735,735,DHL,In Transit,2,Standard
