order_id,customer_id,product_id,order_date,order_status,quantity,discount,shipping_cost,payment_method,order_value
64,4401,64,2024-05-12,Cancelled,3,0.19,12.95,PayPal,569.07
65,2455,61,2024-03-01,Delivered,3,0.1,16.05,PayPal,864.59
66,1125,39,2023-08-25,Cancelled,1,0.09,8.61,PayPal,113.97
67,3001,59,2024-06-05,Shipped,3,0.09,19.69,Bank Transfer,95.2
68,1924,36,2024-04-23,Cancelled,3,0.11,2.62,Bank Transfer,282.63
69,4058,70,2024-09-25,Shipped,4,0.15,15.7,Credit Card,490.41
70,1137,26,2023-11-24,Pending,4,0.09,15.27,Credit Card,895.46
71,2294,99,2023-07-20,Delivered,3,0.15,6.22,PayPal,555.9
72,687,66,2023-06-18,Pending,2,0.08,14.71,Credit Card,119.84
73,1186,65,2025-04-14,Pending,4,0.05,15.63,Bank Transfer,663.68
74,2669,24,2025-02-01,Delivered,5,0.22,13.81,Credit Card,531.47
75,761,28,2023-12-24,Pending,5,0.15,14.67,PayPal,435.64
76,2264,43,2024-06-02,Shipped,4,0.22,11.49,Credit Card,507.78
77,4413,8,2024-09-10,Pending,5,0.28,15.09,Bank Transfer,34.47
78,345,28,2023-06-14,Cancelled,1,0.28,7.51,Bank Transfer,463.42
79,127,81,2023-10-17,Cancelled,2,0.03,3.84,PayPal,200.98
80,3803,98,2025-03-14,Cancelled,4,0.28,7.17,Bank Transfer,751.73
81,616,8,2023-08-26,Delivered,1,0.23,16.27,PayPal,776.01
82,466,13,2023-05-21,Shipped,4,0.06,8.14,Bank Transfer,65.4
83,2880,71,2023-07-06,Pending,5,0.09,12.52,Bank Transfer,254.11
84,4464,93,2024-04-23,Cancelled,4,0.29,14.94,PayPal,815.2
85,300,3,2024-11-06,Delivered,5,0.06,14.84,Bank Transfer,80.42
86,3381,60,2024-06-29,Shipped,4,0.1,19.14,PayPal,348.65
87,4428,34,2024-04-15,Shipped,2,0.2,16.12,PayPal,440.45
88,4308,83,2024-03-08,Cancelled,2,0.04,10.31,Bank Transfer,820.93
89,2188,62,2023-12-13,Delivered,4,0.1,10.86,Bank Transfer,831.11
90,251,57,2025-04-26,Cancelled,4,0.02,10.45,Bank Transfer,736.68
91,3861,75,2025-01-28,Cancelled,4,0.27,3.87,PayPal,275.26
92,1880,90,2023-12-11,Shipped,2,0.08,18.92,Bank Transfer,261.54
93,685,56,2023-11-02,Shipped,3,0.05,5.54,Bank Transfer,312.75
94,4354,89,2024-10-28,Shipped,3,0.03,6.01,Bank Transfer,66.46
95,128,24,2024-01-02,Cancelled,2,0.18,18.07,Bank Transfer,339.86
96,1580,32,2024-05-08,Pending,1,0.17,19.27,Bank Transfer,581.77
97,2756,100,2024-06-11,Shipped,4,0.1,7.67,PayPal,179.84
98,3060,31,2024-07-15,Pending,3,0.07,16.93,Bank Transfer,964.29
99,1320,37,2023-08-11,Shipped,2,0.03,12.64,PayPal,512.06
100,4306,36,2024-11-07,Delivered,2,0.09,3.9,Bank Transfer,364.86
101,1188,16,2023-05-28,Pending,4,0.0,14.47,Bank Transfer,470.39
102,3132,59,2025-01-22,Cancelled,2,0.11,11.36,PayPal,437.73
103,294,18,2024-09-04,Pending,5,0.06,5.37,Credit Card,21.36
104,3678,38,2024-01-26,Delivered,2,0.25,13.25,PayPal,725.43
105,961,39,2025-03-26,Pending,3,0.23,1.38,Credit Card,189.03
106,4661,96,2024-06-01,Shipped,1,0.18,0.82,PayPal,512.47
107,3750,51,2024-06-09,Shipped,5,0.08,18.23,Credit Card,910.79
108,4914,12,2023-12-11,Cancelled,5,0.19,18.68,PayPal,141.35
109,2662,19,2024-11-09,Pending,1,0.02,5.66,Credit Card,413.17
110,491,51,2024-06-14,Shipped,4,0.15,16.27,Bank Transfer,898.14
111,1399,58,2024-05-04,Cancelled,1,0.01,18.48,PayPal,179.91
112,2314,12,2024-12-02,Delivered,2,0.05,10.22,Credit Card,47.17
113,1391,59,2023-09-10,Shipped,4,0.26,16.75,Credit Card,899.22
114,4292,23,2024-12-30,Cancelled,4,0.09,7.94,Bank Transfer,370.03
115,1548,66,2023-11-25,Delivered,5,0.28,7.62,Credit Card,719.44
116,2013,64,2024-04-29,Delivered,1,0.03,19.84,Bank Transfer,258.16
117,3321,11,2023-07-26,Shipped,3,0.26,17.47,Bank Transfer,60.83
118,1201,76,2025-03-24,Shipped,2,0.03,13.92,Credit Card,467.32
119,1626,7,2023-05-03,Shipped,1,0.11,18.8,Credit Card,950.96
120,2816,73,2023-08-04,Delivered,3,0.19,2.35,Credit Card,894.92
121,4992,46,2024-06-14,Cancelled,2,0.28,3.9,Bank Transfer,450.3
122,3813,41,2023-11-21,Cancelled,4,0.13,18.2,PayPal,653.63
123,371,100,2024-01-09,Pending,1,0.07,0.26,Bank Transfer,90.08
124,1379,63,2023-05-29,Shipped,3,0.12,8.11,Credit Card,167.19
125,3054,68,2023-08-05,Pending,2,0.22,10.43,Credit Card,780.56
126,3374,47,2024-08-30,Pending,4,0.2,10.05,PayPal,623.4
127,908,69,2023-08-31,Pending,2,0.25,19.04,Bank Transfer,479.92
128,1021,69,2023-10-18,Pending,2,0.09,15.24,Credit Card,304.32
129,4754,85,2024-07-18,Delivered,5,0.25,1.82,Bank Transfer,704.9
130,3437,34,2024-01-18,Pending,3,0.26,13.19,PayPal,389.7
131,3019,66,2023-07-13,Cancelled,5,0.09,14.6,Credit Card,94.45
132,3837,17,2025-04-05,Shipped,2,0.03,13.23,Credit Card,667.61
133,4502,41,2024-05-17,Cancelled,5,0.27,19.32,Credit Card,637.39
134,4887,72,2024-07-08,Pending,5,0.28,16.5,Credit Card,917.79
135,2677,61,2024-07-01,Shipped,5,0.04,19.22,Credit Card,502.98
136,814,81,2024-10-17,Cancelled,4,0.18,13.87,Credit Card,34.7
137,2931,30,2024-09-11,Cancelled,1,0.23,14.15,Bank Transfer,153.77
138,259,89,2024-12-10,Shipped,4,0.14,19.9,Credit Card,176.23
139,3738,73,2023-12-09,Delivered,3,0.02,15.45,PayPal,342.95
140,3025,65,2025-03-11,Pending,5,0.17,17.72,Bank Transfer,117.09
141,2426,81,2025-03-26,Pending,1,0.29,3.52,PayPal,986.41
142,4114,33,2024-09-19,Shipped,2,0.02,9.84,Credit Card,580.31
143,1115,94,2025-03-25,Pending,4,0.29,19.19,Credit Card,128.53
144,2342,22,2024-10-20,Pending,5,0.21,11.54,Bank Transfer,617.87
145,971,29,2023-08-22,Pending,1,0.27,6.92,PayPal,274.75
146,3382,93,2024-12-06,Pending,1,0.27,14.5,PayPal,735.87
147,858,95,2023-12-22,Cancelled,4,0.06,15.67,Credit Card,550.76
148,4195,34,2024-01-19,Cancelled,3,0.23,4.21,PayPal,395.56
149,741,59,2024-07-29,Delivered,3,0.16,5.88,Credit Card,910.59
150,4732,62,2025-01-24,Cancelled,1,0.13,14.41,Bank Transfer,829.04
151,1437,62,2023-06-29,Cancelled,1,0.15,6.46,Bank Transfer,697.64
152,888,70,2025-01-27,Delivered,5,0.04,9.54,Credit Card,829.09
153,1620,11,2024-11-28,Pending,3,0.21,12.05,Bank Transfer,50.22
154,1482,42,2025-02-21,Pending,1,0.09,15.47,PayPal,947.67
155,2047,70,2023-05-18,Cancelled,3,0.23,3.72,Credit Card,662.53
156,4848,27,2024-09-15,Cancelled,1,0.27,11.45,Bank Transfer,952.4
157,3336,90,2023-09-28,Pending,4,0.06,9.51,Bank Transfer,439.46
158,2459,97,2024-11-27,Delivered,4,0.14,1.74,PayPal,515.99
159,2512,1,2024-04-25,Delivered,1,0.04,7.78,Credit Card,43.71
160,27,91,2025-03-27,Shipped,2,0.09,7.73,Credit Card,38.42
161,3734,26,2023-11-16,Cancelled,2,0.02,9.5,Credit Card,157.23
162,505,97,2023-09-09,Delivered,3,0.01,19.75,Bank Transfer,964.48
163,1622,71,2024-12-14,Delivered,4,0.17,13.69,Bank Transfer,724.1
164,3739,15,2023-10-09,Pending,1,0.08,9.65,Credit Card,186.98
165,3792,98,2023-07-20,Delivered,5,0.05,16.25,PayPal,856.29
166,252,3,2024-09-30,Delivered,2,0.19,14.94,PayPal,480.59
167,729,72,2024-12-07,Delivered,2,0.14,9.27,Bank Transfer,244.3
168,1121,86,2023-10-24,Cancelled,4,0.27,18.57,PayPal,473.18
169,4100,90,2024-07-09,Pending,1,0.04,0.8,Bank Transfer,535.21
170,3021,36,2024-09-27,Cancelled,4,0.04,13.87,PayPal,980.63
171,4677,75,2023-07-22,Shipped,5,0.25,15.08,Credit Card,445.59
172,3402,91,2023-07-26,Shipped,5,0.2,16.25,Bank Transfer,668.03
173,2304,71,2023-10-23,Cancelled,1,0.09,8.34,Credit Card,45.76
174,1307,61,2024-09-04,Pending,5,0.13,10.48,Credit Card,172.32
175,4979,9,2023-08-19,Cancelled,3,0.29,13.92,Credit Card,343.38
176,4129,75,2024-05-26,Delivered,5,0.3,6.34,PayPal,893.73
177,452,100,2023-07-16,Shipped,2,0.19,18.46,Bank Transfer,860.14
178,2575,7,2024-11-24,Pending,5,0.2,2.09,Bank Transfer,922.54
179,2633,79,2025-02-28,Shipped,5,0.1,3.49,Bank Transfer,809.16
180,2493,20,2024-03-31,Delivered,2,0.28,1.91,Credit Card,84.86
181,1267,61,2024-10-24,Cancelled,3,0.11,19.2,PayPal,329.96
182,2394,81,2024-05-08,Shipped,5,0.1,17.7,PayPal,590.21
183,1352,75,2024-04-27,Delivered,4,0.01,9.94,Bank Transfer,540.03
184,4477,23,2024-04-18,Delivered,3,0.22,2.93,Bank Transfer,967.79
185,2829,53,2023-08-18,Cancelled,5,0.29,0.5,Bank Transfer,427.52
186,1285,43,2024-05-03,Cancelled,3,0.18,16.1,PayPal,325.49
187,1865,75,2025-04-10,Delivered,4,0.18,16.25,Credit Card,524.96
188,4015,15,2025-02-14,Delivered,2,0.15,2.65,Bank Transfer,43.2
189,248,44,2024-03-20,Cancelled,4,0.05,5.29,PayPal,293.8
190,3686,99,2025-01-02,Pending,3,0.01,6.55,Bank Transfer,933.08
191,1376,82,2024-04-04,Pending,3,0.23,19.31,Credit Card,134.92
192,2069,35,2023-05-11,Pending,2,0.14,14.66,Bank Transfer,616.07
193,3298,48,2024-06-27,Cancelled,3,0.01,19.01,Bank Transfer,250.22
194,246,91,2024-04-06,Pending,4,0.11,16.55,Bank Transfer,836.82
195,4643,94,2024-06-16,Cancelled,1,0.07,8.91,PayPal,619.57
196,4214,1,2023-09-04,Delivered,3,0.12,5.09,Bank Transfer,561.98
197,3346,39,2024-04-01,Shipped,2,0.07,19.85,PayPal,34.31
198,608,62,2024-11-27,Shipped,5,0.21,18.55,PayPal,471.42
199,1390,52,2025-05-02,Shipped,3,0.23,19.74,PayPal,976.33
200,3210,33,2023-12-14,Shipped,1,0.26,6.72,Bank Transfer,885.72
201,756,56,2024-04-12,Pending,4,0.15,7.18,Bank Transfer,105.57
202,932,91,2025-04-16,Delivered,2,0.12,7.88,PayPal,225.89
203,1621,78,2024-12-24,Shipped,2,0.15,15.63,PayPal,729.92
204,3406,11,2023-05-26,Shipped,4,0.26,2.3,Credit Card,899.17
205,2150,34,2024-06-17,Delivered,2,0.26,13.76,Bank Transfer,253.63
206,1191,80,2023-09-17,Cancelled,1,0.13,13.27,PayPal,950.71
207,2276,48,2024-09-02,Cancelled,4,0.0,9.87,PayPal,898.84
208,4096,7,2024-09-29,Shipped,2,0.17,7.61,PayPal,933.36
209,1456,38,2023-06-03,Shipped,4,0.22,18.44,Bank Transfer,680.45
210,3269,11,2024-02-08,Cancelled,5,0.1,8.63,Credit Card,292.76
211,1660,25,2024-12-13,Delivered,4,0.19,11.54,Bank Transfer,511.58
212,2410,69,2023-10-17,Shipped,3,0.25,12.31,PayPal,630.88
213,3265,2,2025-01-04,Pending,1,0.02,17.44,PayPal,154.63
214,4126,29,2024-08-04,Delivered,4,0.23,3.73,PayPal,420.79
215,1622,30,2023-06-02,Cancelled,5,0.27,10.94,Bank Transfer,47.07
216,218,30,2023-05-05,Delivered,2,0.07,16.98,PayPal,568.53
217,528,46,2025-03-10,Shipped,4,0.25,6.04,Credit Card,667.38
218,3811,40,2025-01-10,Pending,5,0.23,18.28,Bank Transfer,531.45
219,2987,53,2024-01-31,Delivered,2,0.2,14.7,PayPal,196.49
220,1724,6,2024-08-15,Cancelled,3,0.0,16.78,Credit Card,880.5
221,3255,52,2023-07-03,Shipped,4,0.19,15.32,Bank Transfer,33.54
222,3568,8,2023-07-21,Shipped,3,0.23,18.56,Credit Card,231.0
223,264,41,2023-09-01,Cancelled,3,0.06,16.26,Bank Transfer,808.76
224,759,72,2023-10-05,Cancelled,5,0.11,0.96,PayPal,696.01
225,3057,53,2024-01-04,Pending,1,0.03,9.56,Bank Transfer,817.07
226,4403,84,2024-08-31,Cancelled,4,0.11,12.2,Bank Transfer,731.14
227,1658,77,2025-01-04,Shipped,2,0.1,2.84,PayPal,117.47
228,4143,98,2024-08-22,Cancelled,5,0.01,14.62,Bank Transfer,278.1
229,1758,18,2023-11-29,Pending,2,0.13,0.84,Credit Card,355.66
230,3053,76,2024-08-11,Cancelled,5,0.06,14.97,PayPal,589.15
231,3828,7,2024-05-05,Pending,3,0.27,6.4,Credit Card,616.82
232,1826,88,2023-05-30,Shipped,1,0.26,19.52,Credit Card,569.8
233,4036,18,2024-03-22,Shipped,5,0.13,6.39,Bank Transfer,212.49
234,600,44,2024-07-20,Pending,2,0.06,8.13,PayPal,88.97
235,1570,46,2024-03-15,Shipped,3,0.07,1.17,PayPal,81.61
236,3060,3,2024-06-25,Pending,5,0.12,12.43,Credit Card,422.04
237,2998,13,2024-11-21,Cancelled,3,0.12,1.87,Bank Transfer,833.98
238,3161,66,2023-08-13,Pending,1,0.04,10.22,Credit Card,457.6
239,3594,65,2023-05-29,Delivered,5,0.13,5.2,PayPal,956.94
240,1979,13,2024-02-19,Pending,4,0.1,8.31,Bank Transfer,431.46
241,4237,65,2024-10-20,Delivered,1,0.08,17.64,Credit Card,356.91
242,1230,14,2024-10-08,Cancelled,4,0.2,10.67,Credit Card,236.36
243,4219,26,2023-10-06,Cancelled,2,0.25,16.37,Bank Transfer,239.42
244,803,19,2024-09-16,Cancelled,1,0.27,7.31,Bank Transfer,668.95
245,3163,16,2024-03-29,Shipped,3,0.06,7.3,Credit Card,693.12
246,3513,76,2024-06-08,Shipped,5,0.26,2.85,Bank Transfer,476.0
247,2556,31,2023-10-01,Delivered,1,0.24,12.75,Credit Card,214.56
248,2910,93,2024-05-13,Cancelled,5,0.09,1.48,PayPal,80.59
249,3618,19,2025-03-25,Shipped,3,0.13,17.79,Bank Transfer,935.51
250,4158,68,2023-12-08,Shipped,4,0.0,13.85,Bank Transfer,891.18
251,4532,49,2023-08-01,Cancelled,5,0.2,10.39,PayPal,966.8
252,1888,82,2024-07-08,Pending,4,0.29,9.61,Bank Transfer,629.73
253,2220,54,2024-08-10,Cancelled,3,0.28,14.16,Credit Card,413.6
254,2990,31,2024-07-05,Pending,1,0.29,8.5,Credit Card,582.3
255,3002,18,2025-01-25,Shipped,4,0.21,10.7,Bank Transfer,674.98
256,1695,77,2024-11-20,Delivered,1,0.24,0.19,Bank Transfer,932.85
257,646,43,2024-05-08,Cancelled,5,0.15,16.61,PayPal,380.3
258,2915,37,2024-10-14,Cancelled,1,0.21,16.75,Bank Transfer,318.1
259,1045,83,2024-02-28,Shipped,3,0.01,8.27,Credit Card,682.24
260,598,35,2024-06-24,Cancelled,4,0.25,19.39,Credit Card,847.11
261,2106,75,2024-03-20,Delivered,2,0.28,4.78,Bank Transfer,624.62
262,1656,63,2024-01-22,Cancelled,5,0.14,1.93,Credit Card,813.88
263,858,71,2024-06-17,Delivered,3,0.22,0.64,Credit Card,474.63
264,433,14,2023-07-10,Shipped,4,0.21,12.97,Credit Card,499.05
265,3445,16,2024-10-29,Pending,3,0.28,18.11,Credit Card,254.06
266,4297,46,2025-03-08,Delivered,2,0.13,4.94,Bank Transfer,296.38
267,2872,45,2025-03-10,Delivered,3,0.27,18.0,Bank Transfer,900.56
268,4957,21,2023-08-14,Delivered,4,0.28,15.22,Credit Card,208.28
269,3450,21,2024-08-16,Delivered,4,0.04,5.76,Bank Transfer,652.56
270,1424,55,2025-04-07,Delivered,4,0.03,4.53,PayPal,57.2
271,4256,98,2024-05-08,Delivered,4,0.23,17.87,Credit Card,584.54
272,1357,22,2023-09-26,Pending,5,0.1,16.71,Credit Card,391.1
273,2209,94,2023-11-26,Shipped,2,0.04,4.51,Bank Transfer,166.13
274,185,28,2024-11-26,Pending,1,0.22,9.76,PayPal,735.59
275,1991,43,2024-11-12,Cancelled,3,0.17,4.34,Bank Transfer,650.92
276,4142,58,2025-02-09,Shipped,3,0.15,7.13,Bank Transfer,237.12
277,3903,10,2024-09-16,Pending,4,0.17,11.16,Bank Transfer,685.37
278,89,75,2023-06-25,Pending,4,0.2,7.87,Credit Card,523.69
279,3320,44,2025-02-19,Pending,1,0.16,12.41,Credit Card,507.89
280,718,41,2025-02-22,Cancelled,5,0.09,16.14,PayPal,750.46
281,4564,51,2024-01-02,Pending,5,0.03,1.7,Credit Card,585.5
282,1934,40,2024-05-10,Delivered,5,0.19,14.91,Credit Card,306.89
283,1801,84,2024-09-22,Delivered,3,0.15,4.02,PayPal,691.26
284,3181,18,2025-02-16,Delivered,3,0.06,9.6,Credit Card,152.17
285,3793,81,2023-05-03,Delivered,5,0.29,11.84,Bank Transfer,526.71
286,2019,33,2024-12-27,Delivered,1,0.04,19.39,PayPal,96.12
287,1385,49,2023-08-30,Pending,1,0.26,13.01,Bank Transfer,639.32
288,2922,3,2025-03-01,Delivered,3,0.04,16.07,PayPal,571.09
289,1263,11,2023-11-24,Delivered,2,0.22,14.86,Credit Card,621.86
290,1160,70,2024-01-08,Shipped,1,0.18,16.48,PayPal,987.01
291,2730,4,2025-02-16,Shipped,4,0.02,1.02,Bank Transfer,319.65
292,1406,67,2023-10-31,Shipped,3,0.14,10.99,Credit Card,277.64
293,3151,63,2023-11-15,Pending,2,0.13,13.38,Bank Transfer,828.77
294,4525,16,2025-02-12,Cancelled,4,0.29,7.46,Bank Transfer,190.21
295,2822,58,2025-04-25,Cancelled,3,0.13,9.96,PayPal,987.93
296,2859,3,2023-11-20,Shipped,4,0.15,9.58,Credit Card,488.36
297,2566,97,2024-08-11,Shipped,4,0.07,15.59,Bank Transfer,630.52
298,3245,95,2025-02-14,Cancelled,2,0.19,8.69,Bank Transfer,51.19
299,1292,79,2023-11-19,Pending,2,0.11,1.57,PayPal,231.63
300,3605,62,2023-07-07,Shipped,2,0.21,14.99,Bank Transfer,506.21
301,3191,74,2024-06-14,Pending,1,0.1,11.74,Credit Card,519.41
302,1041,48,2024-03-18,Pending,1,0.23,13.57,Credit Card,28.48
303,3745,9,2024-09-30,Shipped,1,0.28,11.34,Bank Transfer,190.45
304,2758,18,2024-07-17,Pending,5,0.11,13.43,Credit Card,278.29
305,1523,34,2023-06-11,Pending,4,0.18,6.46,Credit Card,365.89
306,4867,52,2024-11-05,Cancelled,1,0.1,8.96,Credit Card,819.77
307,385,17,2025-04-16,Cancelled,5,0.22,12.34,Bank Transfer,765.45
308,313,65,2024-11-11,Cancelled,4,0.01,3.19,Bank Transfer,78.26
309,3672,98,2024-09-04,Pending,1,0.04,14.5,PayPal,408.93
310,2137,95,2024-05-01,Shipped,3,0.17,5.79,Bank Transfer,600.45
311,1928,96,2025-04-26,Pending,1,0.1,16.42,Bank Transfer,769.85
312,1010,37,2024-01-03,Shipped,2,0.19,9.58,Credit Card,506.5
313,83,53,2023-07-15,Shipped,4,0.22,11.55,PayPal,193.72
314,4907,9,2025-05-02,Cancelled,1,0.16,7.69,Credit Card,739.8
315,3890,24,2024-05-11,Delivered,5,0.11,1.15,PayPal,388.99
316,4063,97,2025-04-08,Shipped,4,0.13,8.33,Bank Transfer,231.99
317,1869,21,2024-01-28,Shipped,3,0.15,7.07,Credit Card,896.93
318,1965,83,2024-05-29,Cancelled,4,0.02,12.56,Credit Card,541.94
319,1071,100,2024-02-16,Cancelled,2,0.03,18.62,Bank Transfer,695.03
320,4663,41,2024-07-29,Cancelled,4,0.18,16.44,Bank Transfer,133.3
321,1567,23,2024-04-23,Shipped,2,0.25,18.21,Credit Card,938.58
322,2328,93,2023-05-25,Delivered,5,0.28,16.5,PayPal,448.66
323,4569,43,2025-01-12,Shipped,5,0.12,15.48,Bank Transfer,976.46
324,407,62,2025-01-25,Delivered,2,0.04,2.65,Bank Transfer,251.34
325,3182,59,2024-06-08,Delivered,4,0.29,5.03,PayPal,631.71
326,412,36,2023-09-26,Cancelled,2,0.04,5.64,PayPal,623.06
327,4523,66,2023-12-29,Cancelled,5,0.07,18.83,Bank Transfer,334.21
328,4307,11,2024-10-08,Delivered,1,0.16,15.0,PayPal,965.43
329,3731,99,2023-09-24,Delivered,1,0.27,7.96,Credit Card,75.78
330,3366,12,2023-09-30,Shipped,3,0.18,9.44,PayPal,915.0
331,1930,21,2024-06-11,Cancelled,3,0.17,2.72,PayPal,580.03
332,715,16,2024-11-10,Delivered,2,0.03,13.16,PayPal,490.48
333,2835,89,2024-12-06,Shipped,3,0.08,8.08,Bank Transfer,722.21
334,2623,14,2024-07-29,Shipped,1,0.23,14.84,Credit Card,794.24
335,2042,6,2024-04-07,Delivered,4,0.22,10.21,PayPal,814.3
336,4937,91,2024-12-09,Pending,5,0.13,11.43,PayPal,831.39
337,1573,93,2024-09-30,Pending,3,0.03,7.75,Bank Transfer,966.11
338,4511,52,2024-09-18,Cancelled,3,0.06,9.37,PayPal,884.02
339,3759,14,2025-04-06,Pending,4,0.22,12.1,PayPal,281.21
340,685,14,2025-01-07,Cancelled,3,0.06,10.52,PayPal,865.36
341,864,16,2024-09-20,Shipped,4,0.22,17.49,Credit Card,339.85
342,449,65,2024-07-23,Cancelled,4,0.21,19.85,PayPal,982.5
343,1375,97,2025-03-18,Pending,2,0.17,10.31,PayPal,986.35
344,4563,40,2024-08-06,Delivered,4,0.07,6.09,Credit Card,519.72
345,4505,27,2023-08-28,Cancelled,2,0.03,2.54,PayPal,308.91
346,2624,78,2024-06-28,Cancelled,4,0.13,1.13,PayPal,974.7
347,4280,48,2024-01-09,Pending,3,0.29,3.51,Credit Card,895.54
348,3954,47,2024-03-31,Cancelled,4,0.08,4.63,Bank Transfer,964.34
349,3521,43,2024-03-29,Pending,2,0.13,18.4,Bank Transfer,140.99
350,3785,42,2023-11-30,Cancelled,1,0.29,10.1,PayPal,778.75
351,1165,25,2024-08-09,Pending,4,0.2,2.28,Credit Card,638.12
352,569,31,2024-12-08,Delivered,4,0.18,9.86,Credit Card,162.91
353,2463,39,2024-06-20,Cancelled,3,0.15,12.58,Bank Transfer,523.26
